title,description,text,date,language
Hedge Fund Manager Horizon Kinetics Expands Their Investment With Core Scientific’s Digital Asset Mining Service,"Core Scientific announced yesterday that the hedge fund and investment manager Horizon Kinetics increased its partnership with the U.S. based blockchain hosting provider. Horizon upgraded its cryptocurrency service, hosted by Core Scientific, to Bitmain Antmi…","Bitcoin cryptocurrency representation is seen in this illustration photo taken in Poland on June 18, ... [+] 2020 (Photo by Jakub Porzycki/NurPhoto via Getty Images)
NurPhoto via Getty Images
Core … [+1748 chars]",2020-07-02,en
Global Blockchain Technology Industry - GlobeNewswire,Global Blockchain Technology Market to Reach US$142. 5 Billion by the Year 2027.,"New York, July 10, 2020 (GLOBE NEWSWIRE) -- Reportlinker.com announces the release of the report ""Global Blockchain Technology Industry"" - https://www.reportlinker.com/p05443600/?utm_source=GNW5 Bill… [+13378 chars]",2020-07-10,en
IIROC Trading Halt - QBC.P,"VANCOUVER, BC, July 27, 2020 /CNW/ - The following issues have been halted by IIROC: Company: Quantum Blockchain Technologies Ltd.TSX-Venture Symbol: QBC.","VANCOUVER, BC, July 27, 2020 /CNW/ - The following issues have been halted by IIROC:
Company: Quantum Blockchain Technologies Ltd.
TSX-Venture Symbol: QBC.P
All Issues: Yes
Reason: At the Request… [+571 chars]",2020-07-27,en
"Blockchain Bites: Digital Dollars, Ethereum’s Gas and ASX’s Blockchain ‘Lacks Clarity’",Thought leaders are decending on Washing to talk digital money while the Australian Securities Exchange may delay its blockchain settlement solution.,"Australia’s stock exchange may delay its blockchain overhaul, thought leaders are meeting in Washington, D.C., to discuss the digitization of money and Ethereum devs have a proposal to pump the break… [+6997 chars]",2020-06-30,en
Top 10 Mobile App Trends,We have identified the top 10 mobile app trends that are dominating in 2020 and listed them for you.,TOP 10 MOBILE APP TRENDS We have identified the top 10 mobile app trends that are dominating in 2020 and listed them for you. Low-code Development Artificial Intelligence &amp; Machine Learning (Al &… [+1705 chars],2020-07-21,en
NetObjex Acquires VitalGrid,"NetObjex today announced its acquisition of VitalGrid of Toronto, Canada, to expand its Digital Transformation product and service offerings. Terms of the deal were undisclosed.","NetObjex acquires VitalGrid to expand Digital Transformation product and service offerings
IRVINE, Calif., June 30, 2020 /PRNewswire/ -- NetObjex today announced its acquisition of VitalGrid of Toro… [+2737 chars]",2020-06-30,en
Bank of Canada researchers say zero-knowledge proofs are still too immature for CBDC use,"Zero-knowledge proofs and similar cryptographic approaches to blockchain network privacy are “in their infancy,” and aren’t ready to be widely deployed in CBDC systems.The post Bank of Canada researchers say zero-knowledge proofs are still too immature for CB…","Zero-knowledge proofs and similar cryptographic approaches to blockchain network privacy are ""in their infancy,"" and aren't ready to be widely deployed in central bank digital currency (CBDC) systems… [+1469 chars]",2020-06-29,en
Quantum computing: how conditions created by the COVID-19 shutdown are delivering ‘the best data we have ever seen’,Remotely controlled experiments are the way forward.,"The COVID-19 pandemic and shutdown have been disastrous for many people. But one research project in my lab has been humming along, taking the best data my team has ever seen. It is an advanced ion t… [+5322 chars]",2020-06-30,en
Quantum computing: how conditions created by the COVID-19 shutdown are delivering ‘the best data we have ever seen’,Remotely controlled experiments are the way forward.,"The COVID-19 pandemic and shutdown have been disastrous for many people. But one research project in my lab has been humming along, taking the best data my team has ever seen. It is an advanced ion t… [+5322 chars]",2020-06-30,en
Q2 2020 Quarterly Update,"Happy Canada Day & Happy (early) Fourth of July! Here we are, halfway through 2020 and what an unprecedented year it has been. As we focus on staying safe and healing, we continue to look forward, keeping our heads down to build great companies.  At the end o…","Happy Canada Day &amp; Happy (early) Fourth of July!
Here we are, halfway through 2020 and what an unprecedented year it has been. As we focus on staying safe and healing, we continue to look forwar… [+3260 chars]",2020-07-01,en
